    Nr,Imię i Nazwisko,typ,stage,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,średnia ocena
1,Ziye Tao,punkty,1,14.0,17.0,19.0,21.0,21.0,,18.0,16.0,17.0,20.0,21.0,21.0,18.0,21.0,18.0,16.0,15.0,18.3125
1,Ziye Tao,korekta,1,15.31,17.0,19.0,21.0,21.0,0.0,18.0,16.0,17.0,20.0,21.0,21.0,18.0,21.0,18.0,16.0,15.31,18.41
2,Chun Lam U,punkty,1,9.0,14.0,18.0,16.0,17.0,,16.0,17.0,16.0,15.0,17.0,16.0,16.0,19.0,16.0,15.0,12.0,15.5625
2,Chun Lam U,korekta,1,12.56,14.0,18.0,16.0,17.0,0.0,16.0,17.0,16.0,15.0,17.0,16.0,16.0,18.56,16.0,15.0,12.56,15.79
3,Tomoharu Ushida,punkty,1,19.0,16.0,20.0,19.0,22.0,21.0,24.0,24.0,20.0,19.0,22.0,24.0,,22.0,23.0,19.0,18.0,20.75
3,Tomoharu Ushida,korekta,1,19.0,17.75,20.0,19.0,22.0,21.0,23.75,23.75,20.0,19.0,22.0,23.75,0.0,22.0,23.0,19.0,18.0,20.81
4,Ryan Wang,punkty,1,17.0,19.0,19.0,17.0,21.0,16.0,18.0,18.0,15.0,17.0,17.0,15.0,16.0,15.0,17.0,18.0,16.0,17.11764705882353
4,Ryan Wang,korekta,1,17.0,19.0,19.0,17.0,20.12,16.0,18.0,18.0,15.0,17.0,17.0,15.0,16.0,15.0,17.0,18.0,16.0,17.07
5,Zitong Wang,punkty,1,22.0,21.0,21.0,17.0,22.0,,22.0,17.0,16.0,23.0,23.0,21.0,19.0,23.0,22.0,22.0,22.0,20.8125
5,Zitong Wang,korekta,1,22.0,21.0,21.0,17.81,22.0,0.0,22.0,17.81,17.81,23.0,23.0,21.0,19.0,23.0,22.0,22.0,22.0,21.03
6,Jan Widlarz,punkty,1,19.0,16.0,20.0,17.0,20.0,17.0,17.0,17.0,16.0,19.0,20.0,18.0,21.0,21.0,,18.0,20.0,18.5
6,Jan Widlarz,korekta,1,19.0,16.0,20.0,17.0,20.0,17.0,17.0,17.0,16.0,19.0,20.0,18.0,21.0,21.0,0.0,18.0,20.0,18.5
7,Andrzej Wierciński,punkty,1,17.0,18.0,21.0,24.0,20.0,18.0,21.0,16.0,16.0,15.0,21.0,20.0,21.0,17.0,19.0,21.0,,19.0625
